user_id,plan_id,username,password,email,date_joined
63,0,user63,h&^i2x%bV4rMo,user63@gmail.com,10/9/2024
64,0,user64,VbYNxcKpLtZlU,user64@gmail.com,10/9/2024
65,0,user65,i$Nj!J5vGaSpX,user65@gmail.com,10/9/2024
66,0,user66,ipsPklT4p#V(),user66@gmail.com,10/9/2024
67,0,user67,MXX&4gwX4xxfr,user67@gmail.com,10/9/2024
68,0,user68,Ki0N)tQy2z&lI,user68@gmail.com,10/9/2024
69,0,user69,rzfL*WQJ!vYW&,user69@gmail.com,10/9/2024
70,0,user70,A7TyQz92q2u9m,user70@gmail.com,10/9/2024
71,0,user71,lgN(dEzXMWJ^z,user71@gmail.com,10/9/2024
72,0,user72,ny)^C0pVZ^Top,user72@gmail.com,10/9/2024
73,0,user73,%h8BRamvp7dcA,user73@gmail.com,10/9/2024
74,0,user74,BJwqw#qXS*pWx,user74@gmail.com,10/9/2024
75,0,user75,IB#osEJariPKt,user75@gmail.com,10/9/2024
76,0,user76,valAHjE9zCIkh,user76@gmail.com,10/9/2024
77,0,user77,@xf8gbVeeM(f6,user77@gmail.com,10/9/2024
78,0,user78,5j&Xq@PE6*0jZ,user78@gmail.com,10/9/2024
79,0,user79,xOORBAaC$ln2b,user79@gmail.com,10/9/2024
80,0,user80,42EJ6vYTcSVOx,user80@gmail.com,10/9/2024
81,0,user81,cdOCvXusK)v2l,user81@gmail.com,10/9/2024
82,0,user82,X^(6HKNB(lVGL,user82@gmail.com,10/9/2024
83,0,user83,JZB0jCY^pV0qJ,user83@gmail.com,10/9/2024
84,0,user84,d0Z1XxGKKAZ8M,user84@gmail.com,10/9/2024
85,0,user85,!pz3hecIubcpQ,user85@gmail.com,10/9/2024
86,0,user86,aPZr4am@jt6lj,user86@gmail.com,10/9/2024
87,0,user87,APBHTSJsDeaFu,user87@gmail.com,10/9/2024
88,0,user88,KY!f&#mvg3X^L,user88@gmail.com,10/9/2024
89,0,user89,0O&%ut^@(WMsd,user89@gmail.com,10/9/2024
